Config,MaxNumSplits,MinLeafSize,NumTrees,LearnRate,RMSE,MAE,R2,Seconds
Wide_120_12_700_lr0035,120,12,700,0.035,46.8625574278683,36.5998365160126,0.774225116508017,795.2855499
Smooth_80_20_800_lr003,80,20,800,0.03,46.9522876355502,36.63711618904,0.773359682625618,774.4799013
UltraSmooth_120_20_1000_lr002,120,20,1000,0.02,46.9973297663759,36.6690699435805,0.772924634202284,1105.5513541
Deep_150_10_650_lr003,150,10,650,0.03,47.0573813673378,36.7330307415156,0.772343964990394,766.5161135
Strong_90_15_550_lr004,90,15,550,0.04,47.1493814611027,36.7995894166262,0.771452931544238,620.1312804
Aggressive_180_8_500_lr004,180,8,500,0.04,47.2466144731912,36.8774530378081,0.770509324948279,577.5449456
VeryDeep_250_8_650_lr0025,250,8,650,0.025,47.4361132155144,37.0704058146999,0.768664731131853,905.1900301
Fast_40_20_250_lr010,40,20,250,0.1,47.489868341393,37.1159651749554,0.768140130710238,257.9494331
